t=2025-12-15T11:28:15+0300 lvl=info msg="no configuration paths supplied"
t=2025-12-15T11:28:15+0300 lvl=info msg="using configuration at default config path" path=C:\\Users\\Halil\\AppData\\Local/ngrok/ngrok.yml
t=2025-12-15T11:28:15+0300 lvl=info msg="open config file" path=C:\\Users\\Halil\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2025-12-15T14:28:31+0300 lvl=info msg="join connections" obj=join id=d3c63813f1e2 l=[::1]:80 r=164.90.160.171:36764
t=2025-12-15T14:29:20+0300 lvl=info msg="join connections" obj=join id=74391d3769eb l=[::1]:80 r=164.90.160.171:34762
t=2025-12-15T14:29:21+0300 lvl=info msg="join connections" obj=join id=a34c5234a69d l=[::1]:80 r=164.90.160.171:34770
t=2025-12-15T14:34:45+0300 lvl=info msg="join connections" obj=join id=bc98a63d5f56 l=[::1]:80 r=164.90.160.171:60398
t=2025-12-15T14:34:45+0300 lvl=info msg="join connections" obj=join id=ec2f09c09412 l=[::1]:80 r=164.90.160.171:37166
t=2025-12-15T14:35:25+0300 lvl=info msg="join connections" obj=join id=a33d37c1180a l=[::1]:80 r=164.90.160.171:40988
t=2025-12-15T14:36:25+0300 lvl=info msg="join connections" obj=join id=ff4e6cf3621a l=[::1]:80 r=164.90.160.171:39000
t=2025-12-15T14:36:25+0300 lvl=info msg="join connections" obj=join id=c7c4aee02a32 l=[::1]:80 r=164.90.160.171:60220
t=2025-12-15T14:51:59+0300 lvl=info msg="join connections" obj=join id=d4b24dd4d378 l=[::1]:80 r=164.90.160.171:44196
t=2025-12-15T14:52:06+0300 lvl=info msg="join connections" obj=join id=96eb606bdb04 l=[::1]:80 r=164.90.160.171:49528
t=2025-12-15T14:52:07+0300 lvl=info msg="join connections" obj=join id=1dc038b6e39f l=[::1]:80 r=164.90.160.171:49530
t=2025-12-15T14:54:12+0300 lvl=info msg="join connections" obj=join id=6321d4583150 l=[::1]:80 r=164.90.160.171:34338
t=2025-12-15T14:55:22+0300 lvl=info msg="join connections" obj=join id=d1ab0a138598 l=[::1]:80 r=164.90.160.171:50568
t=2025-12-15T14:55:23+0300 lvl=info msg="join connections" obj=join id=794ea369ddcc l=[::1]:80 r=164.90.160.171:45210
t=2025-12-15T15:00:32+0300 lvl=info msg="join connections" obj=join id=c2cfeac5a2eb l=[::1]:80 r=164.90.160.171:38776
t=2025-12-15T15:00:39+0300 lvl=info msg="join connections" obj=join id=8879bc66e108 l=[::1]:80 r=164.90.160.171:38778
t=2025-12-15T15:00:40+0300 lvl=info msg="join connections" obj=join id=59f89ab39815 l=[::1]:80 r=164.90.160.171:50824
t=2025-12-15T15:06:29+0300 lvl=info msg="join connections" obj=join id=910dfad45ca9 l=[::1]:80 r=164.90.160.171:49506
t=2025-12-15T15:06:37+0300 lvl=info msg="join connections" obj=join id=70537e039a35 l=[::1]:80 r=164.90.160.171:37606
t=2025-12-15T15:06:38+0300 lvl=info msg="join connections" obj=join id=617d5368b134 l=[::1]:80 r=164.90.160.171:37614
t=2025-12-15T15:08:58+0300 lvl=info msg="join connections" obj=join id=3de0aa3e251a l=[::1]:80 r=164.90.160.171:45618
t=2025-12-15T15:09:26+0300 lvl=info msg="join connections" obj=join id=81d0d4ac2867 l=[::1]:80 r=164.90.160.171:46246
t=2025-12-15T15:09:27+0300 lvl=info msg="join connections" obj=join id=cd4608c3c903 l=[::1]:80 r=164.90.160.171:46260
t=2025-12-15T15:33:00+0300 lvl=info msg="join connections" obj=join id=de74ac4da653 l=[::1]:80 r=164.90.160.171:52198
t=2025-12-15T15:33:08+0300 lvl=info msg="join connections" obj=join id=8b3783e6ed12 l=[::1]:80 r=164.90.160.171:52200
t=2025-12-15T15:33:09+0300 lvl=info msg="join connections" obj=join id=24463c1a5523 l=[::1]:80 r=164.90.160.171:57592
t=2025-12-15T15:35:28+0300 lvl=info msg="join connections" obj=join id=679dcbdace18 l=[::1]:80 r=164.90.160.171:41456
t=2025-12-15T15:35:36+0300 lvl=info msg="join connections" obj=join id=683f18cbe490 l=[::1]:80 r=164.90.160.171:60380
t=2025-12-15T15:35:37+0300 lvl=info msg="join connections" obj=join id=1e5c448e3b91 l=[::1]:80 r=164.90.160.171:60388
t=2025-12-15T15:38:58+0300 lvl=info msg="join connections" obj=join id=a1ba50becbdf l=[::1]:80 r=164.90.160.171:37402
t=2025-12-15T15:39:06+0300 lvl=info msg="join connections" obj=join id=f176b4828cc4 l=[::1]:80 r=164.90.160.171:41082
t=2025-12-15T15:39:07+0300 lvl=info msg="join connections" obj=join id=d97227527ae1 l=[::1]:80 r=164.90.160.171:41086
t=2025-12-15T15:40:40+0300 lvl=info msg="join connections" obj=join id=862e315d0ecb l=[::1]:80 r=164.90.160.171:54650
t=2025-12-15T15:40:50+0300 lvl=info msg="join connections" obj=join id=df3a415019ea l=[::1]:80 r=164.90.160.171:51722
t=2025-12-15T15:40:51+0300 lvl=info msg="join connections" obj=join id=20107edf2428 l=[::1]:80 r=164.90.160.171:51732
t=2025-12-15T15:41:22+0300 lvl=info msg="join connections" obj=join id=a1b2cb6242bb l=[::1]:80 r=164.90.160.171:35822
t=2025-12-15T15:41:30+0300 lvl=info msg="join connections" obj=join id=7b5cdc451327 l=[::1]:80 r=164.90.160.171:35880
t=2025-12-15T15:41:31+0300 lvl=info msg="join connections" obj=join id=f551422476e7 l=[::1]:80 r=164.90.160.171:35888
t=2025-12-15T15:44:49+0300 lvl=info msg="join connections" obj=join id=fe89feb253e0 l=[::1]:80 r=164.90.160.171:47812
t=2025-12-15T15:44:59+0300 lvl=info msg="join connections" obj=join id=5f5468a342cf l=[::1]:80 r=164.90.160.171:38198
t=2025-12-15T15:45:00+0300 lvl=info msg="join connections" obj=join id=5df869f6f144 l=[::1]:80 r=164.90.160.171:55368
t=2025-12-15T15:47:11+0300 lvl=info msg="join connections" obj=join id=5b99af9d0b57 l=[::1]:80 r=164.90.160.171:58150
t=2025-12-15T15:47:18+0300 lvl=info msg="join connections" obj=join id=d508955698aa l=[::1]:80 r=164.90.160.171:58166
t=2025-12-15T15:47:19+0300 lvl=info msg="join connections" obj=join id=7b848023faeb l=[::1]:80 r=164.90.160.171:43734
t=2025-12-15T15:49:01+0300 lvl=info msg="join connections" obj=join id=1ccfff047172 l=[::1]:80 r=164.90.160.171:59276
t=2025-12-15T15:49:09+0300 lvl=info msg="join connections" obj=join id=4668a005e6f1 l=[::1]:80 r=164.90.160.171:59206
t=2025-12-15T15:49:10+0300 lvl=info msg="join connections" obj=join id=d5a276e7cba5 l=[::1]:80 r=164.90.160.171:36714
t=2025-12-15T15:52:22+0300 lvl=info msg="join connections" obj=join id=1c4b68f91cf5 l=[::1]:80 r=164.90.160.171:59274
t=2025-12-15T15:52:28+0300 lvl=info msg="join connections" obj=join id=a393729dc0c6 l=[::1]:80 r=164.90.160.171:49348
t=2025-12-15T15:52:29+0300 lvl=info msg="join connections" obj=join id=fca7c97780c6 l=[::1]:80 r=164.90.160.171:59276
t=2025-12-15T15:55:03+0300 lvl=info msg="join connections" obj=join id=47a4b3e8a784 l=[::1]:80 r=164.90.160.171:34568
t=2025-12-15T15:55:11+0300 lvl=info msg="join connections" obj=join id=6c4c0f72c038 l=[::1]:80 r=164.90.160.171:35320
t=2025-12-15T15:55:11+0300 lvl=info msg="join connections" obj=join id=79d747c60ba0 l=[::1]:80 r=164.90.160.171:35328
t=2025-12-15T15:57:17+0300 lvl=info msg="join connections" obj=join id=f76675b5cb17 l=[::1]:80 r=164.90.160.171:44982
t=2025-12-15T15:57:25+0300 lvl=info msg="join connections" obj=join id=0711601baa45 l=[::1]:80 r=164.90.160.171:41224
t=2025-12-15T15:57:26+0300 lvl=info msg="join connections" obj=join id=e2e10d4000b6 l=[::1]:80 r=164.90.160.171:41228
t=2025-12-15T16:00:47+0300 lvl=info msg="join connections" obj=join id=514d287a5da5 l=[::1]:80 r=164.90.160.171:54294
t=2025-12-15T16:00:55+0300 lvl=info msg="join connections" obj=join id=b060acf23183 l=[::1]:80 r=164.90.160.171:46208
t=2025-12-15T16:00:56+0300 lvl=info msg="join connections" obj=join id=f7d9b735f8c8 l=[::1]:80 r=164.90.160.171:57030
t=2025-12-15T16:12:53+0300 lvl=info msg="join connections" obj=join id=034f4db65b15 l=[::1]:80 r=164.90.160.171:60338
t=2025-12-15T16:13:00+0300 lvl=info msg="join connections" obj=join id=abdc4b435741 l=[::1]:80 r=164.90.160.171:57398
t=2025-12-15T16:13:01+0300 lvl=info msg="join connections" obj=join id=82bdbc660955 l=[::1]:80 r=164.90.160.171:57408
t=2025-12-15T16:13:42+0300 lvl=info msg="join connections" obj=join id=92c2f50c6aa3 l=[::1]:80 r=164.90.160.171:53194
t=2025-12-15T16:13:57+0300 lvl=info msg="join connections" obj=join id=beea5d54b915 l=[::1]:80 r=164.90.160.171:53530
t=2025-12-15T16:13:58+0300 lvl=info msg="join connections" obj=join id=46a1a05232e4 l=[::1]:80 r=164.90.160.171:53538
t=2025-12-15T16:17:24+0300 lvl=info msg="join connections" obj=join id=278301330133 l=[::1]:80 r=164.90.160.171:42408
t=2025-12-15T16:17:37+0300 lvl=info msg="join connections" obj=join id=0cc080752b00 l=[::1]:80 r=164.90.160.171:57022
t=2025-12-15T16:17:38+0300 lvl=info msg="join connections" obj=join id=c5c071401153 l=[::1]:80 r=164.90.160.171:53916
t=2025-12-15T16:21:05+0300 lvl=info msg="join connections" obj=join id=ef8655a1e952 l=[::1]:80 r=164.90.160.171:55602
t=2025-12-15T16:21:16+0300 lvl=info msg="join connections" obj=join id=0995658ae0fb l=[::1]:80 r=164.90.160.171:53140
t=2025-12-15T16:21:17+0300 lvl=info msg="join connections" obj=join id=6071d2d45fe5 l=[::1]:80 r=164.90.160.171:45958
t=2025-12-15T16:27:18+0300 lvl=info msg="join connections" obj=join id=e06e94ae8cf7 l=[::1]:80 r=164.90.160.171:56892
t=2025-12-15T16:27:25+0300 lvl=info msg="join connections" obj=join id=478887c981d3 l=[::1]:80 r=164.90.160.171:50126
t=2025-12-15T16:27:26+0300 lvl=info msg="join connections" obj=join id=76891be90c35 l=[::1]:80 r=164.90.160.171:50134
t=2025-12-15T16:29:24+0300 lvl=info msg="join connections" obj=join id=933e9d0cd975 l=[::1]:80 r=164.90.160.171:54740
t=2025-12-15T16:29:33+0300 lvl=info msg="join connections" obj=join id=ded9776f305d l=[::1]:80 r=164.90.160.171:35690
t=2025-12-15T16:29:33+0300 lvl=info msg="join connections" obj=join id=f95ac7dea082 l=[::1]:80 r=164.90.160.171:35696
t=2025-12-15T16:30:11+0300 lvl=info msg="join connections" obj=join id=502d266f86a3 l=[::1]:80 r=164.90.160.171:37724
t=2025-12-15T16:30:21+0300 lvl=info msg="join connections" obj=join id=e1b916472b0f l=[::1]:80 r=164.90.160.171:33304
t=2025-12-15T16:30:22+0300 lvl=info msg="join connections" obj=join id=5f6b36ac0a7c l=[::1]:80 r=164.90.160.171:36860
t=2025-12-15T16:33:10+0300 lvl=info msg="join connections" obj=join id=12bcd0bd6756 l=[::1]:80 r=164.90.160.171:36502
t=2025-12-15T16:33:24+0300 lvl=info msg="join connections" obj=join id=6751d5d78df7 l=[::1]:80 r=164.90.160.171:51884
t=2025-12-15T16:33:25+0300 lvl=info msg="join connections" obj=join id=7d180bff13bb l=[::1]:80 r=164.90.160.171:51898
t=2025-12-15T17:28:17+0300 lvl=info msg="update available" obj=updater
t=2025-12-15T17:55:55+0300 lvl=info msg="received stop request" obj=app stopReq="{err:<nil> restart:false}"
t=2025-12-15T17:55:55+0300 lvl=info msg="session closing" obj=tunnels.session err=nil
